allium-env	OK	11s	-
argentic	OK	3s	-
atuout	OK	4s	-
atuout-reconciler-test	OK	2s	-
boomtube	OK	37s	-
browsee	OK	53s	-
cairn	OK	23s	-
clinch	FAIL	8s	attribute 'configPath' missing
copyroom	OK	5s	-
devman	OK	26s	-
docman	OK	9s	-
embeddy	OK	11s	-
eventic	OK	3s	-
fleetman	OK	10s	-
flora	OK	7s	-
flora-core	OK	2s	-
flora-qc	OK	2s	-
foreman	OK	3s	-
forgelab	OK	5s	-
fornix	OK	26s	-
fsdantic	FAIL	5s	path '/nix/store/ngar1l1sc6h4qf45w2ixj6k6i3c72aqz-agentfs-src/cli/Cargo.toml' does not exi
gitman	OK	6s	-
grail	OK	12s	-
image-gen-pipeline	OK	2s	-
inferference	FAIL	8s	Refusing to evaluate package 'cuda12.9-cuda_nvcc-12.9.86' in /nix/store/46977a49kx4mvw9wwz
interplay	OK	22s	-
knappy	OK	10s	-
llgym	OK	40s	-
loci-core	OK	2s	-
loci.nvim	OK	6s	-
lodestar	OK	11s	-
my-ai	OK	4s	-
mypi-agent	OK	16s	-
nixbuild	OK	10s	-
nix-desktop	OK	5s	-
nix-nvim	OK	7s	-
nix-paseo	OK	8s	-
nix-secrets	OK	20s	-
nixvim	OK	114s	-
observantic	OK	4s	-
parsedantic	OK	10s	-
poddantic	OK	4s	-
pydantree	OK	5s	-
PyGentic	FAIL	13s	git-hooks or pre-commit-hooks input required
pyjutsu	OK	1s	-
pytuin	OK	4s	-
repoman	OK	216s	-
shellij	OK	2s	-
siteman	OK	3s	-
structured-agents-v2	OK	48s	-
talkee	OK	4s	-
templateer_v2	OK	8s	-
terminal-state	TIMEOUT	568s	-
testee	OK	4s	-
tyo3	OK	36s	-
vendomat	OK	14s	-
webdantic	OK	3s	-
zelligate	OK	18s	-
